Catégorie d'impact,ExternalWood,BeamWood,Cinderblock,Concrete,Firedbrick,Glass,Glass wool,Gypsum,Hemp,Lath,Mortar,OSB,Paint,Plywood,Steel,WaterProofing,XPS
Acidification,12.02837950166347,123.08028276031541,123.04057000131984,123.05321853299115,123.08000885616524,123.90162170355904,13.091026548112591,124.9269332272812,153.8308237467864,153.97356025568718,154.0141426513349,5728.7686231629405,173.4871237462493,168.57432856073254,168.669713134024,169.00071765780694,171.10939387341455
Climate change,100215.45159455933,739.0951398699383,136.6888037471856,135.8124523686554,164.83196954600305,692.8263970637802,21.428924811595373,174.18812627116793,135.78345546059452,55.20121619511489,162.52119610206955,4121.957385729556,243762.1181094365,129.60248733616223,1509.9602016151157,451.80946073341056,41469.33925209341
Climate change - Biogenic,0.2338859160530316,208.14223701473693,122.64334573092908,123.01320130981863,120.98238722546786,124.49998607493801,11.189485938774045,117.60149737334123,131.79321372910675,49.033753389574855,154.42846875877996,420.66460713608825,39.92936924449459,35.3888799191401,160.77294541393383,167.159274137247,175.87468092765982
Climate change - Fossil,33.31793721826156,238.44531906326364,145.4652160352593,136.4169956701441,146.90195309267668,137.42343835459204,29.166797723803583,184.97190520743735,161.00168391117143,301.1361467751685,228.5008232647985,19986.90944116538,25932.11979734134,409.54898962098054,2108.0905711275,357.19774078914924,8136.416933356875
Climate change - Land use and LU change,12.029941140743304,123.4965720456931,123.0216523873354,123.0096921525531,123.01829288451479,123.03471181504447,13.013853211006722,123.09075574316154,154.41461900886156,154.11130621512464,153.7531331494053,5714.32072065952,396.7813363782355,168.04436413655142,167.67784329283796,167.57774754495202,167.83382717373718
"Ecotoxicity, freshwater - inorganics",1.588548035488671e+18,15463.74915721234,0.012278940779268315,1.13520217954825,2.028506181720164,7.10905698603378e+46,9.866056681167126e-17,2.5767670727848396e+16,1561.3555287295362,4046000914294755.5,24123751.998836976,1.7311566077064037e+30,0.0,2.5451552736851126e-15,1.8502886356549706e-51,156408.08515850117,2.31521252286198e+180
"Ecotoxicity, freshwater - organics - p.1",14.780931183947196,1659.5132492568214,128.8434195380677,126.38322982381581,128.5786453102065,131.59792534339056,25.22223039227923,140.66332072351804,98673898.71748166,159.3320311612316,159.90905837380478,7126.07513991423,4.682276255081173e-40,193.2612671496988,350.5868239957562,171.80276530303993,189.56361124820927
"Ecotoxicity, freshwater - organics - p.2",12.7600593622773,125.12298155588107,125.46896881062213,123.85220347455028,125.95351881070793,132.778100340762,20.781763201887966,133.16189043132144,174.06493704676762,157.23176875407586,155.43700115708023,37589.803642197345,60918.21983547169,221.73865621080378,247.20513283250264,269.6899682132256,275.7170622928383
"Ecotoxicity, freshwater - part 1",102747.9080708112,0.00018877918494290125,5.547986701225765e-05,165.1328411916067,0.2227304536183443,9460654484806.07,426914.84639467474,5.197438509865763e-42,1896239989.2487397,1.601859596493968e+23,2.668437643086812,4.3216199805836576e-58,inf,7.158333510277888e-21,2.8816585384634833e+43,1.4246644651283737e-11,1.3419340902925414e-40
"Ecotoxicity, freshwater - part 2",17.017793155679538,92.74924649157202,155.92731472104765,137.72835863634322,153.7858784817158,84.65551922081254,182.50899034437722,238.1130169749683,301.52078459902395,275.5899067520463,203.86841631721438,61365172.37419307,1211163993.0157402,667.8354040874085,1271.5937822257918,4679.795967449969,822.3905403653422
