Catégorie d'impact,ExternalWood,BeamWood,Cinderblock,Concrete,Earth,FiredBrick,Glass,Wool,Gypsum,Hemp,Lath,Mortar,OSB,Paint,Plywood,Steel,WaterProofing,Polystyrene,Aluminum,PVSystem,Battery,HVAC,DHW
Acidification,1.0031438521576506,1.0005023114469087,1.0007247452342638,1.000374284964334,10.031105516497128,1.000574003689816,1.012055656842308,1.0072068597663564,1.0168612280788198,1.0005045954340106,1.0007481958391071,1.0014591428756703,1.0052658197591013,1.0273951257073262,1.0067820466285118,1.009052707738605,1.0071518487333568,1.0207603683301478,14560.087025979185,148716.2562215025,4790.169997829208,248257.8490952122,480384.1280075808
Climate change,14.966677441084116,14.005557212646844,1.1884979522358137,1.124359173151391,1895.648916959591,1.15442472972132,3.7028151928406325,1.6573004505574056,1.5360514216147352,0.9219530988370972,0.07740633747348259,1.2002231930115554,0.13013773431500583,1292.1138800134338,0.834087582984713,11.611503087541344,2.7594185302732335,49.98176808212591,30327.169133149255,139527213.59607226,6999221.07570771,10162007.880588034,5242591706126.6
Climate change - Biogenic,0.3280163430086586,0.009303694914198775,0.9989615032296405,1.0006889386991311,22.830801345403856,1.0008863506569232,1.0018459101838761,0.8453789756442318,0.9648635344927294,0.8428974345239283,86.29067690444401,1.0005703780872837,0.4690719468774158,0.2804991948742277,0.25634509894272833,0.9934078415012836,0.9945909151948203,1.060728654711376,966828.5240672164,1624476347.8472497,512871254.6324116,341856.3190471988,20523681731.439625
Climate change - Fossil,2.104204939266891,1.7745312009828702,1.12596267366949,1.0985794371834499,60.24149793790992,1.4422135686825193,1.6866457588017885,2.2589100095222143,1.4927778279810557,1.0413805145098778,1.6062054127379566,1.2894657109782366,2.7179887030015117,153.52971775777723,2.531127781632005,7.412219908276875,2.1427778230711505,75.9155210295377,7056.5268783777765,9576056.572022328,57656.06680585072,2484131.605942148,14500427.043005778
Climate change - Land use and LU change,1.003326318390594,1.0037428486564859,1.0000603705903959,1.0000816417458824,3.1064096144589715,1.0001122660516035,1.0001006126489893,1.0011588719395834,1.0011572476845936,1.004315307989837,1.003917124686129,1.000052405917989,1.0012871372593601,6.699170609300647,1.00271162567179,1.0011197610661704,1.000310548597826,1.0003050018897164,41022043.879731305,148087.17566236338,3041596.215719153,1070480318.116082,268680.99091809016
"Ecotoxicity, freshwater - inorganics",2.097342928720586e-18,352386.7975780026,2174.717723049124,0.4835749064332572,37.70647165449825,7189736150.788766,25335787724.28937,48161.03635417768,1.4046441374782687e+18,0.03844831765953021,1.562660099687777e-26,384.4227691768635,1.3850149146482215e+26,inf,1.5627505198988623e-11,2.7479003166176575e-89,5.4217726098918244e-06,4.7587749043816814e-194,1793.8176269408689,7671297.241265977,151749.38038432648,2245791.7464611344,8471609.272558697
"Ecotoxicity, freshwater - organics - p.1",1.2335275380455342,6.970319600488871,1.117362599248658,1.0102969419970191,65.8262200362088,1.0248814340912662,1.0141705704397865,1.8501219756696126,1.2148858993388265,20185.76329275317,1.3132886121084324,1.0113882236513478,1.4175493551182132,1.8985226311286476e-15,1.291465668629155,1.6226883466871431,1.077009644269011,0.9816317128814286,2765.8864135845765,1395.9560971011188,16408.174584204262,352057.5293297539,17927.97403026266
"Ecotoxicity, freshwater - organics - p.2",1.1052037637984158,0.9854284229277233,1.0263042629271033,1.007162868161808,7.007380913160425,1.0312613631898306,1.1232757648792782,44.51002202537639,1.2373432374439735,1.0580499431199062,1.0195754372608674,1.0207313464592833,307917.98936991644,28.38397806175791,1.3131120536217133,1.5509102941665238,2.138188774637866,1.46039411858806,1956.0537218679583,1186.6929778689976,2502256.112434287,457.51964044375416,1072516.4645764066
"Ecotoxicity, freshwater - part 1",1.6269045851243494e-14,6814827.25001014,0.0001948183065716761,0.23680665835449308,32.687696475980495,3.04332228347374,1.4015571001639438e+19,647.0369527206853,4.810354969651153e-38,43008.95206664541,47763.33306633184,12806460422.295925,3.006403884467232e+18,inf,2.142651704310182e-11,2.0842725775078215e+35,2.9638110291872697e-07,2.9353576265626e-10,1071.4221474087212,32155.84719263727,272916.5917714187,14922.755138671797,365711.26137534337
"Ecotoxicity, freshwater - part 2",1.9419892729605428,0.9619604996978826,1.2201830181551312,1.1401254045335092,67.5394034579504,1.3339677810671682,6.0360417180049115,5.040562782951015,6.397056005490877,1.7584878589679038,0.46450210917666557,1.4696892419229863,240.08897521361055,3.790949550580242e+17,3.6470982217231547,16.711082253999436,12556.493343429072,1.8426629817568407,668.0792701484945,2292140.4959476576,2385575.7883973443,234.30887036877388,35499.25722355203
"Eutrophication, freshwater",1.00030521139225,1.0001010442523321,1.0000324298781784,1.0000043733094492,110.74896700374443,1.0000607249350026,1.0002381865411847,1.0002719895765688,1.000113631426875,1.0000758946986539,1.0005106686373333,1.000001666401944,1.0002774155327734,1.0004167402665942,1.0008684982950844,1.0020576524032505,1.0001833141104857,1.0001582132871831,361.05178304282975,862711.6327212293,431.64490136326157,141.85259730762078,8453.518459373017
"Eutrophication, marine",1.001037582151062,1.0004640737856245,1.0002096278892698,1.000119316948585,34.88464852123154,1.0002504981545843,1.001116830358884,1.0019628765678485,1.0006186357505997,1.0003218535927831,1.0004602341202655,1.00029501748253,1.0020755727851889,1.0071778557219997,1.002096051597116,1.0016886027225649,1.000947674927739,1.004014084233039,10796.172952589108,1189.3488902734782,43744.10885791729,640.1082151108856,5431.163273346182
"Eutrophication, terrestrial",1.0062763831223975,1.0045092414730048,1.0024585589773198,1.00069588612581,10.882733817024228,1.0017261502643098,1.034062179181613,1.0336203985565662,1.0067755987242606,1.0013981623255475,1.0075008823572211,1.0022872464357357,1.0179235438187644,1.0572965640572232,1.023208355664916,1.0184222761204749,1.0106748828384655,1.02241896473891,10467.249030841669,34002.95147510074,100399.68512362413,705311.1066280396,2383.0254921422766
"Human toxicity, cancer",1.0000001349800696,0.9999999913499636,0.999999997272167,1.0000000026085234,6.879418592291503,1.0000000012457624,1.0000000264327515,1.0000000134257672,0.9999998343043001,1.0000000001654634,1.0000000830094506,0.9999999995431224,1.0000000209115223,1.000005298570586,0.9999999542305074,1.0000000530176922,1.0000000198759686,0.9999999680848418,40.29142887663255,631.5225608274473,1955224.9878905949,5423.24631439862,30560.750425007867
